"protein","outcome","n_snps","coloc_H0","coloc_H1","coloc_H3","coloc_H4"
"FN1.3","SBP",73,7.38761164144456e-36,0.982438655380891,0.000633206109933095,0.0169281385091692
"FN1.3","DBP",73,7.47801409928796e-36,0.994460791009752,0.000346214576748837,0.00519299441350295
"PGP9.5","SBP",66,0.998716451924887,0.000641610392669516,4.03608339293707e-07,5.19691586982008e-06
"PGP9.5","DBP",66,0.999004780682501,0.000641795625151703,2.21540948974458e-07,3.26860500511901e-06
"NovH","SBP",38,0.000193337247647103,0.993759450279468,0.000131578422600544,0.00591560730063478
"NovH","DBP",38,0.00019395398363589,0.996929492393149,0.000140661929873523,0.00273586379510656
"Lysozyme","SBP",73,2.52855462330184e-53,0.99063249315657,0.000431813730875686,0.00893569311255787
"Lysozyme","DBP",73,2.53847583744079e-53,0.99451940823724,0.000426732984605282,0.00505385877815455
